EV Charger Registration Code,Name,No. of Charging Outlets,Connector ID,Type of Connector,Rated Output Power (kW),Postal Code,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,Longitude,Latitude
R103902R,COMFORTDELGRO ENGIE PTE. LTD.,1,R103902R-001,Type 2,7.4,611183,183A,CORPORATION DRIVE,CORPORATION SPRING,L3,294,Yes,103.722484,1.332900639
R103903D,COMFORTDELGRO ENGIE PTE. LTD.,1,R103903D-001,Type 2,7.4,611183,183A,CORPORATION DRIVE,CORPORATION SPRING,L3,295,Yes,103.722484,1.332900639
R103904H,COMFORTDELGRO ENGIE PTE. LTD.,1,R103904H-001,Type 2,7.4,611183,183A,CORPORATION DRIVE,CORPORATION SPRING,L3,296,Yes,103.722484,1.332900639
R103907K,COMFORTDELGRO ENGIE PTE. LTD.,1,R103907K-001,Type 2,7.4,760468,468,YISHUN STREET 43,MEADOW SPRING @ YISHUN,L2,163,Yes,103.8517315,1.424740359
R103908B,COMFORTDELGRO ENGIE PTE. LTD.,1,R103908B-001,Type 2,7.4,760468,468,YISHUN STREET 43,MEADOW SPRING @ YISHUN,L2,164,Yes,103.8517315,1.424740359
R103909F,COMFORTDELGRO ENGIE PTE. LTD.,1,R103909F-001,Type 2,7.4,760468,468,YISHUN STREET 43,MEADOW SPRING @ YISHUN,L2,165,Yes,103.8517315,1.424740359
R103910K,COMFORTDELGRO ENGIE PTE. LTD.,1,R103910K-001,Type 2,22,561347,347A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3,212,Yes,103.8489133,1.367335466
R103911B,COMFORTDELGRO ENGIE PTE. LTD.,1,R103911B-001,Type 2,22,561347,347A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3,213,Yes,103.8489133,1.367335466
R103912F,COMFORTDELGRO ENGIE PTE. LTD.,1,R103912F-001,Type 2,22,561347,347A,ANG MO KIO AVENUE 3,MULTI STOREY CAR PARK,L3,214,Yes,103.8489133,1.367335466
R103913Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R103913Z-001,Type 2,22,671185,185A,JELEBU ROAD,MULTI STOREY CAR PARK,L5,211,Yes,103.7626379,1.379113361
R103914C,COMFORTDELGRO ENGIE PTE. LTD.,1,R103914C-001,Type 2,22,671185,185A,JELEBU ROAD,MULTI STOREY CAR PARK,L5,212,Yes,103.7626379,1.379113361
R103915G,COMFORTDELGRO ENGIE PTE. LTD.,1,R103915G-001,Type 2,22,671185,185A,JELEBU ROAD,MULTI STOREY CAR PARK,L5,213,Yes,103.7626379,1.379113361
R103916R,COMFORTDELGRO ENGIE PTE. LTD.,1,R103916R-001,Type 2,22,18940,11,MARINA BOULEVARD,MARINA BAY SINGAPORE,L1,16,Yes,103.8562864,1.28011453
R103918H,COMFORTDELGRO ENGIE PTE. LTD.,1,R103918H-001,Type 2,22,18940,11,MARINA BOULEVARD,MARINA BAY SINGAPORE,L1,17,Yes,103.8562864,1.28011453
R103919A,COMFORTDELGRO ENGIE PTE. LTD.,1,R103919A-001,Type 2,22,469572,1,BEDOK ROAD,BEDOK FOOD CENTRE,L1,75,Yes,103.9552145,1.320882494
R103920D,COMFORTDELGRO ENGIE PTE. LTD.,1,R103920D-001,Type 2,22,469572,1,BEDOK ROAD,BEDOK FOOD CENTRE,L1,76,Yes,103.9552145,1.320882494
R103921H,COMFORTDELGRO ENGIE PTE. LTD.,1,R103921H-001,Type 2,22,469572,1,BEDOK ROAD,BEDOK FOOD CENTRE,L1,67,Yes,103.9552145,1.320882494
